method,dataset,model,class_imbalance,avg_correlation,mutual_information,accuracy-recall,FPR-accuracy,SPD-accuracy,EOD-accuracy,PED-accuracy,AOD-accuracy,CFVR-accuracy,GIFVR-accuracy,FPR-recall,SPD-recall,EOD-recall,PED-recall,AOD-recall,CFVR-recall,GIFVR-recall,FPR-SPD,EOD-FPR,FPR-PED,AOD-FPR,CFVR-FPR,FPR-GIFVR,EOD-SPD,PED-SPD,AOD-SPD,CFVR-SPD,GIFVR-SPD,EOD-PED,AOD-EOD,CFVR-EOD,EOD-GIFVR,AOD-PED,CFVR-PED,GIFVR-PED,AOD-CFVR,AOD-GIFVR,CFVR-GIFVR
fairsmote,heart,xgboost,0.8459242101736828,0.21494463551080326,0.07835430739309004,0.9563225465624969,0.43951924444380797,-0.3243442159209255,-0.17729574105133244,-0.19437453717113182,-0.12561431925538497,-0.003302500590365836,-0.07294950708763213,0.18263641176603693,-0.5025200164914246,-0.24924378946623982,-0.3348512383959771,-0.2977676697067545,-0.01346149014143164,-0.05620897243352672,0.5113252841114162,0.20297280784049127,0.4418378610454529,0.5759606170732726,0.0298139634887866,-0.06569975606674419,0.343066166482486,0.709906733786094,0.7543912516724794,0.03169127469672384,0.14378670030157892,0.3575719036452193,0.643136294564744,0.005902684913677636,0.18795303100337962,0.7340998988591634,0.007100717349959004,0.0044132057191271085,0.02616206388408247,0.1283805228199822,0.17089863386112794
fairsmote,heart,tabnet,0.8459242101736828,0.21494463551080326,0.07835430739309004,0.5571529097607096,0.5299615089718722,-0.3386798192262751,-0.09750206483753174,-0.06726561717965007,-0.19228961096796632,-0.03011139013592289,-0.06689614195425814,-0.2900704315088173,-0.3216293752762839,0.09821985856679005,-0.07522203126755844,-0.21717183956375571,-0.07546592809320167,-0.039152979879355995,-0.023809558420782185,-0.16894182556601497,0.13636600221288792,0.056521261055105465,0.11594177337760406,0.051838143782474685,0.07736580464337381,0.564283229801357,0.6831491299630319,0.11915039925975676,0.02563711385984726,0.041541939401901117,0.28633911443030186,0.005397484713061377,0.03104791586632702,0.49634913953686555,0.1742505806417266,0.07743729326475277,0.12932007972143564,0.062398246625471124,0.34535197782778326
maat,census,lr,0.329044051723481,0.15725180168644665,0.046849500242439494,0.9971631137458287,0.9898025920872167,-0.07285527857691385,-0.09538944743866692,-0.02396656230556646,0.06960869534934647,-0.01858581879448149,-0.10564762015063481,0.9763399702741273,-0.09421347762376472,-0.0957451050262082,-0.0388558785781868,0.05536508837440592,-0.03397571953540965,-0.06683726071770978,-0.03179113951001376,-0.09264898794685231,0.0046625087440674545,0.09443244403097169,0.010453053462281748,-0.17611508284180696,0.5843837665727264,0.8421196925517306,0.8392765651991857,0.758697653098652,0.3506687795236591,0.3179409279786932,0.7147461757582975,0.3065954488500286,0.5759160649289459,0.6252430789996792,0.8526415645527534,0.08770094574350067,0.5924430164606379,0.45169853885099975,0.07698459872020319
maat,census,svm,0.329044051723481,0.15725180168644665,0.046849500242439494,0.9971148739497272,0.990033786301136,-0.07396546927874141,-0.09664981558630831,-0.02304563364203678,0.06762558669178198,-0.018903934876028195,-0.10562977775199014,0.9765564614701969,-0.09558681975586165,-0.09797396789548937,-0.036806534922979264,0.051629986852845366,-0.03412536408525312,-0.0664373949370112,-0.033143053054190505,-0.09183817006800435,0.0030351599504557453,0.09513841218792411,0.009316131311184934,-0.1753165474938634,0.5903359672896041,0.8289314184961791,0.8233945919645462,0.7678320160975854,0.3580553630741693,0.31601698990048266,0.7241521124305632,0.3065392525672058,0.5788625600853783,0.5998655251207353,0.8740556564359059,0.08863251867562544,0.5816632067022616,0.44081502653217514,0.08187582747030674
maat,census,dt,0.329044051723481,0.15725180168644665,0.046849500242439494,0.9013536464480811,0.1870503431483986,-0.10820736907295529,-0.07189106528628503,-0.02931433127646369,-0.08280251805316396,-0.006085111667672648,-0.10069877380709594,-0.23642132818888478,-0.30816210104003583,-0.10787530314192795,-0.22759386656324554,-0.20577490644799407,-0.05782541431080721,-0.12308138822981576,0.5069896012226038,0.07766168717199082,0.5066328823551017,0.2864630872071593,0.1280554716301817,0.05706417670949907,0.34846751921451674,0.7701507337492456,0.6767972150416058,0.26365556259063716,0.17085995373457902,0.15046735987050125,0.6557188860620893,0.05823676106642469,0.21431530042906916,0.4778720700249795,0.2550162582425119,0.05368385208357972,0.18519971316882564,0.2061547022090766,0.0014721194718634728
maat,census,rf,0.329044051723481,0.15725180168644665,0.046849500242439494,0.9862450978730066,0.30080969739029934,-0.045137047504640614,-0.05289964311494451,-0.005446800195686366,-0.029678963800062085,-0.0053355377821368965,-0.08240221952288586,0.14067791820046316,-0.14936663979032144,-0.06999142671614239,-0.10580479516663321,-0.10057185522019789,-0.023789080477171005,-0.09621313091747331,0.5914757881139348,0.0930058787111887,0.5728176351384128,0.40386376886526276,0.10951179244273015,0.062213216116236335,0.3053956239870689,0.7920250887697712,0.7234005426090252,0.30488602208448873,0.3392202567414803,0.1461049505070048,0.5260109161506586,0.06219182207585724,0.43113685087709114,0.567820492126479,0.2982327150289065,0.05039488291103542,0.2406830875744151,0.32772362377270864,0.011408010340904454
maat,census,mlp,0.329044051723481,0.15725180168644665,0.046849500242439494,0.8489947414111947,0.7924329182994347,-0.1746221446219688,-0.054137735410588084,-0.14556404127192352,-0.07448967635612008,-0.10540238945086955,-0.10107515188826444,0.3585527537309178,-0.21420961748202227,-0.10690723493821683,-0.16640040940896855,-0.11757057760024019,-0.02610506940399272,-0.08664932383898193,-0.067048455920952,0.02414050214655291,-0.07157482220332365,-0.002798360253526533,-0.15651560353052946,-0.08005117096298799,0.20823870141449002,0.8625436745485977,0.6232423931802646,0.45465838738067654,0.18122537888352813,0.06741377547671587,0.6013955488646942,0.03320583156042349,0.20085887406314296,0.49439968080787067,0.3857662176281181,0.07644437945101304,0.27225764699515764,0.2174915067979999,0.029927994279092103
maat,census,xgboost,0.329044051723481,0.15725180168644665,0.046849500242439494,0.9591757768247341,0.4346876061363316,-0.06417461471008859,-0.05298401703440496,-0.023584815335791088,-0.01400104595549408,0.030291196722484547,-0.08684752473003353,0.1674542324448182,-0.19389768125462273,-0.09700857475143124,-0.12022343406002109,-0.1269655834232944,-0.06310813491995898,-0.10849877394141401,0.40006325435123175,0.1291641738837221,0.31030413983976446,0.3572007873570951,0.31501158708424926,0.04218495907766466,0.30310399250121767,0.787271468366187,0.6748950923199705,0.4094538464117953,0.29140504357487323,0.11445079187576604,0.5289525791888897,0.07557526116397265,0.3611842130293274,0.4659816828637596,0.42671911601521784,0.049457184903835424,0.31427722050740897,0.20999830914112896,0.016814154934461704
maat,census,tabnet,0.329044051723481,0.15725180168644665,0.046849500242439494,0.9595410691787792,0.8892099224911194,-0.13086503157403048,-0.08051285302210356,-0.08286942001562857,-0.0430548146955764,-0.026696492039289327,-0.11557784789849786,0.7358731771067676,-0.13365597152489436,-0.06590536967582236,-0.1085779953822182,-0.06599037513148401,-0.019954025531958852,-0.058471367113637165,-0.06897277816572779,-0.06985570791415925,-0.0014433368636699515,0.029055654279857866,-0.030350744472623915,-0.15526133386943444,0.2816543670777283,0.7683244236990847,0.6772017485888997,0.3713387001616171,0.21426290021339645,0.1332566801231084,0.5382873542529969,0.06576336377356282,0.2591061011407777,0.5015210370184375,0.354976495127718,0.06503359672048904,0.27322130237431563,0.28382535400837844,-0.009926625548160104
maat,ufrgs,lr,0.8774667147874702,0.13790496433147906,0.024953065613266552,0.9998914783195654,0.9998706540292754,-0.051834914182505444,-0.04579905424462028,-0.050174083342333364,-0.04804515265023585,-0.04018868863909606,-0.05538432381630347,0.9995257819147436,-0.05669948896934647,-0.050692450545416226,-0.05519395396862713,-0.05296868335168303,-0.04521013288115923,-0.06003684797346705,-0.04634310848925475,-0.04022413817133378,-0.044512381648132746,-0.04245649303817488,-0.03445473338568118,-0.05018790945479168,0.9772724102688741,0.9965847304322434,0.9937795409177731,0.9572700717122846,0.8820507355615096,0.9710572656495877,0.9911928285870049,0.9749583329090864,0.8359911287730808,0.9926009359373374,0.962214632059362,0.8729616290965302,0.9757107977762768,0.8554189650909256,0.7877120042264613
maat,ufrgs,svm,0.8774667147874702,0.13790496433147906,0.024953065613266552,0.9998918088121498,0.9998709990823986,-0.05180404651624878,-0.04587752472884063,-0.05016236685155874,-0.04789585865304467,-0.040295833162150255,-0.05487809904201483,0.999527133371321,-0.05669218349023247,-0.05080099354969969,-0.05520310440841462,-0.05279405289630915,-0.04535383199047935,-0.05943309874509752,-0.04628607481518929,-0.04026992242224648,-0.044477344270774904,-0.04233074750628482,-0.03452252946187474,-0.04978804197896168,0.9775779630138637,0.996571011802563,0.9939606017645379,0.9558381355777262,0.8749389878610302,0.971406288201878,0.9916805722076448,0.9737344893174337,0.8285912672503212,0.9919909843287499,0.9604589952424067,0.8668015330199704,0.9744527575774912,0.8479790345480032,0.7849337104607415
maat,ufrgs,dt,0.8774667147874702,0.13790496433147906,0.024953065613266552,0.9046026671882494,0.12924855417501024,-0.33739227541948486,-0.17679232639206915,-0.12150310186572458,-0.22243304018480353,-0.2288495002409685,-0.28541712725143575,-0.2987708001747643,-0.38734264053105955,-0.1872237138860356,-0.21056853048498492,-0.26674950473841796,-0.3182328644608796,-0.4088988826763904,0.15596447580004774,0.040606457517058235,0.22986762883640682,0.13367235307322473,0.22783912488672992,0.30756955559674576,0.5695539106421292,0.708572217658775,0.9170535262709336,0.48299790766688044,0.34588377930473857,0.26778202623102076,0.6460235083643457,0.3500442186401886,0.21260575297070136,0.5991429775722399,0.356526532503162,0.20351033003495442,0.45385179353912763,0.2867232313539257,0.4439607296852902
